mass,tof (us),Combined
0,0.1196,6.85E-07
0,0.1198,3.92E-07
0,0.12,3.92E-07
0,0.1202,7.83E-07
0,0.1204,4.90E-07
0,0.1206,5.87E-07
0,0.1208,9.79E-07
0,0.121,5.87E-07
0,0.1212,1.96E-07
0,0.1214,4.90E-07
0,0.1216,4.90E-07
0,0.1218,3.92E-07
0,0.122,5.87E-07
0,0.1222,6.85E-07
0,0.1224,5.87E-07
0,0.1226,7.83E-07
0,0.1228,7.83E-07
0,0.123,5.87E-07
0,0.1232,4.90E-07
0,0.1234,8.81E-07
0,0.1236,3.92E-07
0,0.1238,8.81E-07
0,0.124,4.90E-07
0,0.1242,4.90E-07
0,0.1244,3.92E-07
0,0.1246,1.17E-06
0,0.1248,2.94E-07
0,0.125,1.08E-06
0,0.1252,3.92E-07
0,0.1254,8.81E-07
0,0.1256,1.27E-06
0,0.1258,7.83E-07
0,0.126,4.90E-07
0,0.1262,6.85E-07
0,0.1264,8.81E-07
0,0.1266,1.17E-06
0,0.1268,8.81E-07
0,0.127,7.83E-07
0,0.1272,9.79E-07
0,0.1274,4.90E-07
0,0.1276,3.92E-07
0,0.1278,4.90E-07
0,0.128,1.27E-06
0,0.1282,3.92E-07
0,0.1284,6.85E-07
0,0.1286,7.83E-07
0,0.1288,5.87E-07
0,0.129,7.83E-07
0,0.1292,7.83E-07
0,0.1294,6.85E-07
0,0.1296,9.79E-07
0,0.1298,8.81E-07
0,0.13,5.87E-07
0,0.1302,9.79E-07
0,0.1304,7.83E-07
0,0.1306,2.94E-07
0,0.1308,3.92E-07
0,0.131,6.85E-07
0,0.1312,6.85E-07
0,0.1314,9.79E-07
0,0.1316,3.92E-07
0,0.1318,5.87E-07
0,0.132,7.83E-07
0,0.1322,4.90E-07
0,0.1324,7.83E-07
0,0.1326,7.83E-07
0,0.1328,3.92E-07
0,0.133,6.85E-07
0,0.1332,8.81E-07
0,0.1334,5.87E-07
0,0.1336,7.83E-07
0,0.1338,7.83E-07
0,0.134,6.85E-07
0,0.1342,4.90E-07
0,0.1344,2.94E-07
0,0.1346,6.85E-07
0,0.1348,1.08E-06
0,0.135,7.83E-07
0,0.1352,6.85E-07
0,0.1354,6.85E-07
0,0.1356,1.08E-06
0,0.1358,8.81E-07
0,0.136,8.81E-07
0,0.1362,4.90E-07
0,0.1364,1.17E-06
0,0.1366,4.90E-07
0,0.1368,8.81E-07
0,0.137,3.92E-07
0,0.1372,3.92E-07
0,0.1374,9.79E-07
0,0.1376,8.81E-07
0,0.1378,6.85E-07
0,0.138,9.79E-07
0,0.1382,2.94E-07
0,0.1384,5.87E-07
0,0.1386,3.92E-07
0,0.1388,6.85E-07
0,0.139,1.96E-07
0,0.1392,3.92E-07
0,0.1394,5.87E-07
0,0.1396,3.92E-07
0,0.1398,2.94E-07
0,0.14,3.92E-07
0,0.1402,1.08E-06
0,0.1404,5.87E-07
0,0.1406,6.85E-07
0,0.1408,9.79E-08
0,0.141,6.85E-07
0,0.1412,6.85E-07
0,0.1414,5.87E-07
0,0.1416,6.85E-07
0,0.1418,3.92E-07
0,0.142,9.79E-07
0,0.1422,4.90E-07
0,0.1424,5.87E-07
0,0.1426,4.90E-07
0,0.1428,9.79E-07
0,0.143,3.92E-07
0,0.1432,5.87E-07
0,0.1434,8.81E-07
0,0.1436,5.87E-07
0,0.1438,9.79E-07
0,0.144,4.90E-07
0,0.1442,6.85E-07
0,0.1444,4.90E-07
0,0.1446,3.92E-07
0,0.1448,8.81E-07
0,0.145,1.08E-06
0,0.1452,8.81E-07
0,0.1454,6.85E-07
0,0.1456,6.85E-07
0,0.1458,1.96E-07
0,0.146,3.92E-07
0,0.1462,4.90E-07
0,0.1464,3.92E-07
0,0.1466,8.81E-07
0,0.1468,4.90E-07
0,0.147,1.96E-07
0,0.1472,3.92E-07
0,0.1474,8.81E-07
0,0.1476,8.81E-07
0,0.1478,8.81E-07
0,0.148,4.90E-07
0,0.1482,4.90E-07
0,0.1484,6.85E-07
0,0.1486,7.83E-07
0,0.1488,9.79E-07
0,0.149,4.90E-07
0,0.1492,5.87E-07
0,0.1494,1.27E-06
0,0.1496,8.81E-07
0,0.1498,5.87E-07
0,0.15,5.87E-07
0,0.1502,9.79E-07
0,0.1504,4.90E-07
0,0.1506,7.83E-07
0,0.1508,4.90E-07
0,0.151,3.92E-07
0,0.1512,5.87E-07
0,0.1514,7.83E-07
0,0.1516,6.85E-07
0,0.1518,6.85E-07
0,0.152,5.87E-07
0,0.1522,1.17E-06
0,0.1524,1.47E-06
0,0.1526,3.92E-07
0,0.1528,6.85E-07
0,0.153,4.90E-07
0,0.1532,7.83E-07
0,0.1534,1.96E-07
0,0.1536,4.90E-07
0,0.1538,7.83E-07
0,0.154,1.17E-06
0,0.1542,9.79E-07
0,0.1544,4.90E-07
0,0.1546,9.79E-07
0,0.1548,1.27E-06
0,0.155,2.94E-07
0,0.1552,3.92E-07
0,0.1554,5.87E-07
0,0.1556,5.87E-07
0,0.1558,5.87E-07
0,0.156,7.83E-07
0,0.1562,3.92E-07
0,0.1564,7.83E-07
0,0.1566,6.85E-07
0,0.1568,1.57E-06
0,0.157,5.87E-07
0,0.1572,7.83E-07
0,0.1574,7.83E-07
0,0.1576,9.79E-07
0,0.1578,3.92E-07
0,0.158,2.94E-07
0,0.1582,8.81E-07
0,0.1584,1.96E-07
0,0.1586,4.90E-07
0,0.1588,8.81E-07
0,0.159,4.90E-07
0,0.1592,5.87E-07
0,0.1594,1.27E-06
0,0.1596,6.85E-07
0,0.1598,8.81E-07
0,0.16,8.81E-07
0,0.1602,2.94E-07
0,0.1604,9.79E-07
0,0.1606,6.85E-07
0,0.1608,3.92E-07
0,0.161,9.79E-08
0,0.1612,7.83E-07
0,0.1614,4.90E-07
0,0.1616,7.83E-07
0,0.1618,5.87E-07
0,0.162,3.92E-07
0,0.1622,1.96E-07
0,0.1624,5.87E-07
0,0.1626,4.90E-07
0,0.1628,4.90E-07
0,0.163,9.79E-07
0,0.1632,6.85E-07
0,0.1634,8.81E-07
0,0.1636,3.92E-07
0,0.1638,8.81E-07
0,0.164,8.81E-07
0,0.1642,1.08E-06
0,0.1644,3.92E-07
0,0.1646,8.81E-07
0,0.1648,6.85E-07
0,0.165,2.94E-07
0,0.1652,3.92E-07
0,0.1654,8.81E-07
0,0.1656,2.94E-07
0,0.1658,6.85E-07
0,0.166,1.08E-06
0,0.1662,4.90E-07
0,0.1664,3.92E-07
0,0.1666,4.90E-07
0,0.1668,8.81E-07
0,0.167,8.81E-07
0,0.1672,7.83E-07
0,0.1674,7.83E-07
0,0.1676,5.87E-07
0,0.1678,9.79E-07
0,0.168,7.83E-07
0,0.1682,1.08E-06
0,0.1684,4.90E-07
0,0.1686,6.85E-07
0,0.1688,9.79E-07
0,0.169,6.85E-07
0,0.1692,2.94E-07
0,0.1694,8.81E-07
0,0.1696,4.90E-07
0,0.1698,4.90E-07
0,0.17,2.94E-07
0,0.1702,6.85E-07
0,0.1704,5.87E-07
0,0.1706,2.94E-07
0,0.1708,6.85E-07
0,0.171,1.08E-06
0,0.1712,8.81E-07
0,0.1714,7.83E-07
0,0.1716,4.90E-07
0,0.1718,4.90E-07
0,0.172,5.87E-07
0,0.1722,7.83E-07
0,0.1724,6.85E-07
0,0.1726,5.87E-07
0,0.1728,2.94E-07
0,0.173,5.87E-07
0,0.1732,9.79E-07
0,0.1734,5.87E-07
0,0.1736,4.90E-07
0,0.1738,4.90E-07
0,0.174,7.83E-07
0,0.1742,7.83E-07
0,0.1744,4.90E-07
0,0.1746,2.94E-07
0,0.1748,3.92E-07
0,0.175,7.83E-07
0,0.1752,4.90E-07
0,0.1754,7.83E-07
0,0.1756,7.83E-07
0,0.1758,4.90E-07
0,0.176,6.85E-07
0,0.1762,5.87E-07
0,0.1764,8.81E-07
0,0.1766,9.79E-08
0,0.1768,7.83E-07
0,0.177,7.83E-07
0,0.1772,6.85E-07
0,0.1774,5.87E-07
0,0.1776,5.87E-07
0,0.1778,9.79E-07
0,0.178,4.90E-07
0,0.1782,6.85E-07
0,0.1784,8.81E-07
0,0.1786,7.83E-07
0,0.1788,6.85E-07
0,0.179,4.90E-07
0,0.1792,1.08E-06
0,0.1794,7.83E-07
0,0.1796,6.85E-07
0,0.1798,5.87E-07
0,0.18,4.90E-07
0,0.1802,5.87E-07
0,0.1804,6.85E-07
0,0.1806,5.87E-07
0,0.1808,6.85E-07
0,0.181,3.92E-07
0,0.1812,1.17E-06
0,0.1814,1.96E-07
0,0.1816,2.94E-07
